Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/2/25, 00:00:00, 13.64, 14.06, 12.86, 13.84, 0, 0, 0, 0
2015/2/26, 00:00:00, 13.55, 14.57, 13.55, 13.91, 0, 0, 0, 0
2015/2/27, 00:00:00, 14.07, 14.17, 13.29, 13.34, 0, 0, 0, 0
2015/3/2, 00:00:00, 13.90, 13.90, 12.87, 13.04, 0, 0, 0, 0
2015/3/3, 00:00:00, 13.35, 14.69, 13.25, 13.86, 0, 0, 0, 0
2015/3/4, 00:00:00, 14.31, 15.33, 14.13, 14.23, 0, 0, 0, 0
2015/3/5, 00:00:00, 14.01, 14.58, 13.88, 14.04, 0, 0, 0, 0
2015/3/6, 00:00:00, 14.61, 15.83, 14.18, 15.20, 0, 0, 0, 0
2015/3/9, 00:00:00, 15.72, 15.76, 14.71, 15.06, 0, 0, 0, 0
2015/3/10, 00:00:00, 16.47, 16.91, 16.03, 16.69, 0, 0, 0, 0
2015/3/11, 00:00:00, 16.44, 17.19, 16.29, 16.87, 0, 0, 0, 0
2015/3/12, 00:00:00, 16.45, 16.45, 15.30, 15.42, 0, 0, 0, 0
2015/3/13, 00:00:00, 15.47, 16.73, 15.32, 16.00, 0, 0, 0, 0
2015/3/16, 00:00:00, 15.78, 15.89, 15.36, 15.61, 0, 0, 0, 0
2015/3/17, 00:00:00, 16.30, 16.37, 15.66, 15.66, 0, 0, 0, 0
2015/3/18, 00:00:00, 14.60, 16.29, 13.38, 13.97, 0, 0, 0, 0
2015/3/19, 00:00:00, 14.68, 14.97, 13.84, 14.07, 0, 0, 0, 0
2015/3/20, 00:00:00, 13.52, 13.53, 12.54, 13.02, 0, 0, 0, 0
2015/3/23, 00:00:00, 13.52, 13.53, 12.89, 13.41, 0, 0, 0, 0
2015/3/24, 00:00:00, 13.36, 13.68, 12.59, 13.62, 0, 0, 0, 0
2015/3/25, 00:00:00, 13.26, 15.55, 13.20, 15.44, 0, 0, 0, 0
2015/3/26, 00:00:00, 16.64, 17.19, 15.23, 15.80, 0, 0, 0, 0
2015/3/27, 00:00:00, 15.73, 15.83, 14.19, 15.07, 0, 0, 0, 0
2015/3/30, 00:00:00, 14.76, 14.76, 14.08, 14.51, 0, 0, 0, 0
2015/3/31, 00:00:00, 14.97, 15.74, 14.33, 15.29, 0, 0, 0, 0
2015/4/1, 00:00:00, 15.32, 16.66, 15.08, 15.11, 0, 0, 0, 0
2015/4/2, 00:00:00, 15.30, 15.51, 14.27, 14.67, 0, 0, 0, 0
2015/4/6, 00:00:00, 15.75, 15.76, 14.04, 14.74, 0, 0, 0, 0
2015/4/7, 00:00:00, 14.57, 14.81, 14.01, 14.78, 0, 0, 0, 0
2015/4/8, 00:00:00, 14.59, 14.77, 13.75, 13.98, 0, 0, 0, 0
2015/4/9, 00:00:00, 14.14, 14.59, 13.09, 13.09, 0, 0, 0, 0
2015/4/10, 00:00:00, 13.20, 13.26, 12.51, 12.58, 0, 0, 0, 0
2015/4/13, 00:00:00, 13.17, 14.31, 12.71, 13.94, 0, 0, 0, 0
2015/4/14, 00:00:00, 14.34, 14.74, 13.64, 13.67, 0, 0, 0, 0
2015/4/15, 00:00:00, 13.58, 13.58, 12.83, 12.84, 0, 0, 0, 0
