Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/3/2, 00:00:00, 2038.00, 2049.50, 2034.50, 2048.00, 1075660, 2871121, 0, 0
2015/3/3, 00:00:00, 2048.00, 2048.50, 2029.50, 2038.75, 1360995, 2893603, 0, 0
2015/3/4, 00:00:00, 2038.75, 2038.75, 2019.25, 2030.50, 1490440, 2910503, 0, 0
2015/3/5, 00:00:00, 2030.50, 2037.50, 2027.25, 2033.75, 1097593, 2917569, 0, 0
2015/3/6, 00:00:00, 2033.50, 2037.50, 1999.50, 2004.75, 1901150, 2987199, 0, 0
2015/3/9, 00:00:00, 2007.50, 2014.25, 2000.00, 2011.75, 1189658, 2947997, 0, 0
2015/3/10, 00:00:00, 2011.50, 2012.00, 1976.00, 1976.00, 1903455, 2942523, 0, 0
2015/3/11, 00:00:00, 1978.25, 1986.25, 1972.25, 1973.50, 1707510, 2807778, 0, 0
2015/3/12, 00:00:00, 1976.00, 2000.25, 1972.00, 1997.75, 833748, 875067, 0, 0
2015/3/13, 00:00:00, 1997.75, 2002.50, 1973.75, 1983.50, 1729733, 1332264, 0, 0
2015/3/16, 00:00:00, 1984.50, 2015.25, 1978.50, 2009.75, 1698647, 1793591, 0, 0
2015/3/17, 00:00:00, 2007.75, 2011.75, 1997.50, 2007.50, 1791792, 2362080, 0, 0
2015/3/18, 00:00:00, 2007.50, 2041.00, 1993.50, 2033.75, 2013069, 2586701, 0, 0
2015/3/19, 00:00:00, 2034.75, 2040.25, 2017.75, 2022.75, 1496920, 2638127, 0, 0
2015/3/20, 00:00:00, 2020.75, 2048.00, 2019.00, 2040.50, 1417654, 2608347, 0, 0
2015/3/23, 00:00:00, 2039.00, 2048.25, 2034.50, 2036.00, 957576, 2607995, 0, 0
2015/3/24, 00:00:00, 2035.25, 2042.25, 2024.25, 2026.25, 1193863, 2625047, 0, 0
2015/3/25, 00:00:00, 2026.50, 2030.50, 1993.50, 1995.00, 1777447, 2620588, 0, 0
2015/3/26, 00:00:00, 1997.25, 2000.00, 1974.50, 1989.75, 1842218, 2639622, 0, 0
2015/3/27, 00:00:00, 1991.25, 1999.00, 1982.25, 1993.75, 1158856, 2640559, 0, 0
2015/3/30, 00:00:00, 1994.00, 2023.00, 1988.50, 2016.75, 1236364, 2632578, 0, 0
2015/3/31, 00:00:00, 2016.00, 2018.00, 1997.50, 2002.00, 1596352, 2655571, 0, 0
2015/4/1, 00:00:00, 1999.25, 2002.00, 1974.75, 1994.25, 1818878, 2672112, 0, 0
2015/4/2, 00:00:00, 1996.50, 2006.00, 1985.25, 2000.75, 1047174, 2645132, 0, 0
2015/4/3, 00:00:00, 2001.25, 2005.00, 1979.25, 2000.75, 95921, 2650208, 0, 0
2015/4/6, 00:00:00, 1980.75, 2021.25, 1980.00, 2014.50, 948447, 2654748, 0, 0
2015/4/7, 00:00:00, 2012.75, 2024.00, 2007.25, 2009.00, 1048474, 2651631, 0, 0
2015/4/8, 00:00:00, 2009.75, 2021.50, 2005.75, 2017.25, 1217049, 2644161, 0, 0
2015/4/9, 00:00:00, 2019.00, 2028.25, 2008.00, 2027.00, 1211778, 2645082, 0, 0
2015/4/10, 00:00:00, 2027.25, 2037.50, 2024.25, 2036.75, 880529, 2651679, 0, 0
