Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/3/25, 00:00:00, 2032.50, 2036.50, 1999.50, 2001.00, 1777447, 2620588, 0, 0
2015/3/26, 00:00:00, 2003.25, 2006.00, 1980.50, 1995.75, 1842218, 2639622, 0, 0
2015/3/27, 00:00:00, 1997.25, 2005.00, 1988.25, 1999.75, 1158856, 2640559, 0, 0
2015/3/30, 00:00:00, 2000.00, 2029.00, 1994.50, 2022.75, 1236364, 2632578, 0, 0
2015/3/31, 00:00:00, 2022.00, 2024.00, 2003.50, 2008.00, 1596352, 2655571, 0, 0
2015/4/1, 00:00:00, 2005.25, 2008.00, 1980.75, 2000.25, 1818878, 2672112, 0, 0
2015/4/2, 00:00:00, 2002.50, 2012.00, 1991.25, 2006.75, 1047174, 2645132, 0, 0
2015/4/3, 00:00:00, 2007.25, 2011.00, 1985.25, 2006.75, 95921, 2650208, 0, 0
2015/4/6, 00:00:00, 1986.75, 2027.25, 1986.00, 2020.50, 948447, 2654748, 0, 0
2015/4/7, 00:00:00, 2018.75, 2030.00, 2013.25, 2015.00, 1048474, 2651631, 0, 0
2015/4/8, 00:00:00, 2015.75, 2027.50, 2011.75, 2023.25, 1217049, 2644161, 0, 0
2015/4/9, 00:00:00, 2025.00, 2034.25, 2014.00, 2033.00, 1211778, 2645082, 0, 0
2015/4/10, 00:00:00, 2033.25, 2043.50, 2030.25, 2042.75, 880529, 2651679, 0, 0
2015/4/13, 00:00:00, 2042.50, 2048.50, 2032.50, 2033.75, 1080267, 2650088, 0, 0
2015/4/14, 00:00:00, 2034.25, 2040.00, 2023.00, 2038.25, 1267366, 2664126, 0, 0
2015/4/15, 00:00:00, 2039.00, 2052.75, 2034.50, 2047.00, 1045308, 2666373, 0, 0
2015/4/16, 00:00:00, 2048.75, 2052.00, 2036.25, 2048.00, 1113607, 2689405, 0, 0
2015/4/17, 00:00:00, 2048.50, 2049.00, 2011.75, 2022.75, 1822841, 2702824, 0, 0
2015/4/20, 00:00:00, 2028.25, 2044.75, 2025.75, 2038.25, 1119881, 2688683, 0, 0
2015/4/21, 00:00:00, 2036.75, 2052.50, 2034.50, 2038.25, 1052404, 2683708, 0, 0
2015/4/22, 00:00:00, 2039.25, 2051.00, 2027.50, 2047.50, 1188586, 2689547, 0, 0
2015/4/23, 00:00:00, 2046.50, 2061.75, 2034.75, 2054.25, 1362552, 2713112, 0, 0
