Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/6/10, 00:00:00, 2032.25, 2059.50, 2031.50, 2058.50, 1664080, 0, 0, 0
2015/6/11, 00:00:00, 2057.50, 2065.75, 2054.50, 2060.50, 746891, 755803, 0, 0
2015/6/12, 00:00:00, 2060.25, 2060.50, 2041.00, 2044.00, 1763160, 1262058, 0, 0
2015/6/15, 00:00:00, 2035.50, 2040.50, 2021.75, 2034.50, 1999786, 1764777, 0, 0
2015/6/16, 00:00:00, 2034.25, 2049.00, 2021.00, 2048.00, 1657466, 2246290, 0, 0
2015/6/17, 00:00:00, 2048.75, 2057.75, 2037.75, 2048.25, 1578971, 2433892, 0, 0
2015/6/18, 00:00:00, 2048.00, 2078.25, 2041.00, 2073.75, 1902148, 2549027, 0, 0
2015/6/19, 00:00:00, 2073.75, 2076.75, 2056.00, 2056.75, 1239246, 2537546, 0, 0
2015/6/22, 00:00:00, 2064.75, 2081.00, 2062.50, 2071.75, 1095709, 2563433, 0, 0
2015/6/23, 00:00:00, 2073.75, 2079.50, 2070.25, 2075.50, 837133, 2554179, 0, 0
2015/6/24, 00:00:00, 2076.50, 2077.50, 2058.00, 2058.50, 1163124, 2536478, 0, 0
2015/6/25, 00:00:00, 2060.25, 2071.75, 2051.00, 2053.00, 1218149, 2534335, 0, 0
2015/6/26, 00:00:00, 2053.75, 2059.75, 2045.25, 2054.75, 1321884, 2526649, 0, 0
2015/6/29, 00:00:00, 2023.00, 2042.25, 2006.25, 2009.50, 2292340, 2614259, 0, 0
2015/6/30, 00:00:00, 2013.50, 2028.00, 2005.75, 2013.50, 2381572, 2615790, 0, 0
2015/7/1, 00:00:00, 2013.50, 2036.50, 2013.50, 2030.00, 1496815, 2624007, 0, 0
2015/7/2, 00:00:00, 2030.50, 2038.00, 2021.25, 2027.75, 1252317, 2625405, 0, 0
