Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/9/21, 00:00:00, 1922.75, 1942.50, 1912.00, 1936.50, 1513503, 2862583, 0, 0
2015/9/22, 00:00:00, 1937.75, 1938.50, 1891.25, 1905.50, 1985152, 2876302, 0, 0
2015/9/23, 00:00:00, 1904.00, 1915.25, 1884.00, 1902.00, 1423965, 2872265, 0, 0
2015/9/24, 00:00:00, 1905.25, 1909.75, 1870.75, 1892.25, 2218286, 2864458, 0, 0
2015/9/25, 00:00:00, 1886.75, 1924.50, 1883.75, 1892.75, 2080724, 2818148, 0, 0
2015/9/28, 00:00:00, 1889.00, 1903.25, 1842.25, 1845.50, 2354063, 2885060, 0, 0
2015/9/29, 00:00:00, 1849.75, 1863.25, 1834.50, 1848.00, 2374651, 2896165, 0, 0
2015/9/30, 00:00:00, 1848.50, 1884.00, 1844.75, 1882.25, 2216643, 2867181, 0, 0
2015/10/1, 00:00:00, 1876.00, 1903.00, 1863.75, 1890.25, 2052465, 2866971, 0, 0
2015/10/2, 00:00:00, 1890.50, 1917.25, 1856.50, 1916.50, 2466082, 2898003, 0, 0
2015/10/5, 00:00:00, 1914.50, 1953.50, 1910.75, 1948.25, 1675519, 2895436, 0, 0
2015/10/6, 00:00:00, 1946.50, 1955.75, 1936.00, 1942.00, 1606289, 2894614, 0, 0
2015/10/7, 00:00:00, 1934.50, 1964.75, 1934.00, 1960.75, 1937061, 2884317, 0, 0
2015/10/8, 00:00:00, 1961.25, 1982.25, 1944.50, 1980.00, 1803978, 2917911, 0, 0
2015/10/9, 00:00:00, 1977.50, 1987.50, 1972.25, 1981.00, 1378359, 2905895, 0, 0
2015/10/12, 00:00:00, 1978.75, 1987.50, 1975.25, 1984.50, 804576, 2905112, 0, 0
2015/10/13, 00:00:00, 1985.50, 1988.25, 1964.75, 1967.50, 1518662, 2880221, 0, 0
2015/10/14, 00:00:00, 1965.00, 1975.25, 1956.00, 1957.50, 1780661, 2881542, 0, 0
2015/10/15, 00:00:00, 1959.25, 1993.00, 1958.50, 1992.50, 1731138, 2892169, 0, 0
2015/10/16, 00:00:00, 1991.75, 2000.00, 1985.75, 1999.00, 1362298, 2887889, 0, 0
2015/10/19, 00:00:00, 1998.00, 2001.50, 1987.75, 2001.00, 1306548, 2890340, 0, 0
2015/10/20, 00:00:00, 2000.00, 2005.00, 1992.00, 1994.00, 1276349, 2896843, 0, 0
2015/10/21, 00:00:00, 1993.25, 2007.75, 1981.00, 1982.00, 1791221, 2890408, 0, 0
2015/10/22, 00:00:00, 1984.00, 2029.50, 1982.00, 2026.50, 2099217, 2857210, 0, 0
2015/10/23, 00:00:00, 2027.75, 2048.00, 2026.75, 2039.50, 2067465, 2788563, 0, 0
2015/10/26, 00:00:00, 2039.50, 2041.50, 2031.00, 2035.75, 1184323, 2754513, 0, 0
2015/10/27, 00:00:00, 2037.25, 2038.25, 2024.75, 2034.00, 1243601, 2757750, 0, 0
2015/10/28, 00:00:00, 2035.50, 2058.75, 2029.00, 2058.00, 1888636, 0, 0, 0
2015/10/29, 00:00:00, 2054.50, 2060.00, 2046.75, 2056.50, 1407730, 2779503, 0, 0
2015/10/30, 00:00:00, 2058.25, 2068.25, 2043.25, 2047.25, 1751269, 2748794, 0, 0
2015/11/2, 00:00:00, 2046.50, 2073.50, 2037.75, 2069.00, 1284044, 2774901, 0, 0
2015/11/3, 00:00:00, 2066.75, 2083.75, 2062.50, 2076.50, 1348316, 2764810, 0, 0
2015/11/4, 00:00:00, 2076.00, 2083.25, 2064.00, 2068.25, 1546504, 2767546, 0, 0
2015/11/5, 00:00:00, 2069.00, 2078.25, 2057.50, 2067.50, 1538081, 2773738, 0, 0
2015/11/6, 00:00:00, 2068.25, 2072.50, 2051.00, 2067.25, 1846631, 2780419, 0, 0
2015/11/9, 00:00:00, 2065.50, 2071.25, 2035.50, 2046.50, 1856213, 2816439, 0, 0
2015/11/10, 00:00:00, 2045.75, 2052.50, 2038.00, 2051.50, 1286098, 2826631, 0, 0
2015/11/11, 00:00:00, 2050.00, 2060.75, 2041.25, 2042.50, 1171396, 2810012, 0, 0
2015/11/12, 00:00:00, 2042.00, 2051.00, 2013.00, 2014.00, 1807653, 2804669, 0, 0
